"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Same inputs always produce the same fingerprint","tests","2026-05-08","passed","2026-05-08","TestFingerprint","test_finding_dedup","",""
"","9","Auth credentials are masked in the create response","tests","2026-05-08","passed","2026-05-08","","test_targets_api","",""
"","0","Description is used when no template_id is provided","tests","2026-05-08","passed","2026-05-08","TestFingerprint","test_finding_dedup","",""
"","554","Same password produces different hashes due to bcrypt salt","tests","2026-05-08","passed","2026-05-08","TestPasswordHashing","test_security_core","",""
"","0","String 'critical' resolves to 7-day window","tests","2026-05-08","passed","2026-05-08","TestDueDateFor","test_sla","",""
"","0","IP address outside CIDR range is blocked","tests","2026-05-08","passed","2026-05-08","TestCIDRScope","test_scope_guard","",""
"","0","Garbage string raises JWTError","tests","2026-05-08","passed","2026-05-08","TestJWT","test_security_core","",""
"","1","Empty string returns empty string","tests","2026-05-08","passed","2026-05-08","TestNormaliseUrl","test_finding_dedup","",""
"Alert without ip/timestamp must still yield an enriched record.","2","test_alert_correlator_handles_missing_fields","tests","2026-05-08","passed","2026-05-08","","test_siem_integration","",""
"","1","decrypt_json(None) returns None in plaintext mode","tests","2026-05-08","passed","2026-05-08","TestCryptoPlaintextFallback","test_crypto","",""
"","11","Actions endpoint returns a list or dict","tests","2026-05-08","passed","2026-05-08","","test_dashboard_api","",""
"","8","All dashboard routes reject unauthenticated requests","tests","2026-05-08","passed","2026-05-08","","test_dashboard_api","",""
"","971","Empty string password can be hashed and verified","tests","2026-05-08","passed","2026-05-08","TestPasswordHashing","test_security_core","",""
"","0","Unknown severity string defaults to 180-day window","tests","2026-05-08","passed","2026-05-08","TestDueDateFor","test_sla","",""
"","0","environmental_score does not mutate the input dict","tests","2026-05-08","passed","2026-05-08","TestEnvironmentalScore","test_cvss","",""
"","0","encrypt_json(None) returns None","tests","2026-05-08","passed","2026-05-08","TestCryptoWithKey","test_crypto","",""
"","1","explain() band thresholds match expected labels","tests","2026-05-08","passed","2026-05-08","","test_risk_engine","",""
"","0","None factors argument is handled without error","tests","2026-05-08","passed","2026-05-08","TestExplain","test_scoring_explainer","",""
"","1","test_intelligence_agent_imports","tests","2026-05-08","passed","2026-05-08","","test_agents","",""
"","0","base_score accepts a pre-parsed dict as input","tests","2026-05-08","passed","2026-05-08","TestBaseScore","test_cvss","",""
"","0","Band thresholds map scores to correct severity labels","tests","2026-05-08","passed","2026-05-08","TestBand","test_scoring_explainer","",""
"","1","Deep nested subdomain is in scope","tests","2026-05-08","passed","2026-05-08","TestIsInScope","test_scope_guard","",""
"","15","Analyst role can access the audit verify endpoint","tests","2026-05-08","passed","2026-05-08","","test_audit_api","",""
"","0","explain() returns a string","tests","2026-05-08","passed","2026-05-08","TestExplain","test_scoring_explainer","",""
"","13","Download PDF for unknown report returns 404","tests","2026-05-08","passed","2026-05-08","","test_reports_api","",""
"","1","Zero severity counts are not mentioned in narrative","tests","2026-05-08","passed","2026-05-08","TestExplain","test_scoring_explainer","",""
"","13","GET /auth/me returns current user's email and role","tests","2026-05-08","passed","2026-05-08","","test_endpoints","",""
"","19","Providing framework without control returns 400","tests","2026-05-08","passed","2026-05-08","","test_findings_api","",""
"","8","Protected routes reject unauthenticated requests with 401 or 403","tests","2026-05-08","passed","2026-05-08","","test_endpoints","",""
"Verify severity → score deduction mapping.","1","test_severity_weights","tests","2026-05-08","passed","2026-05-08","","test_risk_engine_manual","",""
"","0","Custom expiry delta is reflected in token","tests","2026-05-08","passed","2026-05-08","TestJWT","test_security_core","",""
"","1","test_alert_correlator_imports","tests","2026-05-08","passed","2026-05-08","","test_siem_integration","",""
"Network failure must not raise — caller depends on a None return.","58","test_wazuh_get_token_returns_none_on_network_error","tests","2026-05-08","passed","2026-05-08","","test_siem_integration","",""
"","11","limit parameter restricts the number of vulnerabilities returned","tests","2026-05-08","passed","2026-05-08","","test_vulnerabilities_api","",""
"","1","Every high-risk port entry has a name and a positive weight","tests","2026-05-08","passed","2026-05-08","","test_risk_engine","",""
"","525","hash_password returns a non-empty string","tests","2026-05-08","passed","2026-05-08","TestPasswordHashing","test_security_core","",""
"","0","Alias resolves to the same tags as its canonical form","tests","2026-05-08","passed","2026-05-08","TestAliasNormalisation","test_framework_tagger","",""
"","0","test_validation_result_dataclass_fields","tests","2026-05-08","passed","2026-05-08","","test_agents","",""
"Verify Report API properly calls Mock/Real advisor","0","test_report_generation","tests","2026-05-08","skipped","2026-05-08","","test_e2e_scans","",""
"","0","Each call returns an independent copy of the result dict","tests","2026-05-08","passed","2026-05-08","TestReturnTypeGuarantees","test_framework_tagger","",""
"","1","Both http and https for same host are in scope","tests","2026-05-08","passed","2026-05-08","TestIsInScope","test_scope_guard","",""
"","21","Admin role can access stable dashboard routes","tests","2026-05-08","passed","2026-05-08","","test_dashboard_api","",""
"","1","Expired JWT token is rejected","tests","2026-05-08","passed","2026-05-08","","test_auth","",""
"","0","Fragment is stripped from URL","tests","2026-05-08","passed","2026-05-08","TestNormaliseUrl","test_finding_dedup","",""
"","1","Tampered PDF content fails verification","tests","2026-05-08","passed","2026-05-08","TestVerifySignature","test_report_signer","",""
"","14","Analyst cannot list users (403)","tests","2026-05-08","passed","2026-05-08","","test_rbac","",""
"","1","Description is truncated to 64 characters for fingerprinting","tests","2026-05-08","passed","2026-05-08","TestFingerprint","test_finding_dedup","",""
"","4","Empty scan returns zero new findings","tests","2026-05-08","passed","2026-05-08","TestDeduplicateScan","test_finding_dedup","",""
"","0","Zero score with no factors still produces a sentence","tests","2026-05-08","passed","2026-05-08","TestExplain","test_scoring_explainer","",""
"","1","encrypt/decrypt round-trip preserves simple dict","tests","2026-05-08","passed","2026-05-08","TestCryptoWithKey","test_crypto","",""
"","0","Garbage hash string returns False on verify","tests","2026-05-08","passed","2026-05-08","TestPasswordHashing","test_security_core","",""
"","11","Viewer cannot perform bulk update (403)","tests","2026-05-08","passed","2026-05-08","","test_vulnerabilities_api","",""
"","866","Unicode password can be hashed and verified","tests","2026-05-08","passed","2026-05-08","TestPasswordHashing","test_security_core","",""
"","0","Single finding produces a valid hash","tests","2026-05-08","passed","2026-05-08","TestCanonicalFindingsHash","test_report_signer","",""
"","1","Band thresholds map scores to correct severity labels","tests","2026-05-08","passed","2026-05-08","TestBand","test_scoring_explainer","",""
"","0","Tampered token raises JWTError","tests","2026-05-08","passed","2026-05-08","TestJWT","test_security_core","",""
"","18","Viewer role can access findings list","tests","2026-05-08","passed","2026-05-08","","test_findings_api","",""
"","0","test_wazuh_integration_uses_settings","tests","2026-05-08","passed","2026-05-08","","test_siem_integration","",""
"","8","Public config endpoint is accessible or returns expected auth response","tests","2026-05-08","passed","2026-05-08","","test_endpoints","",""
"","2","Finding with future due_date is not actioned","tests","2026-05-08","passed","2026-05-08","TestCheckAndActionBreaches","test_sla","",""
"","5","test_broadcast_event_prunes_dead_clients","tests","2026-05-08","passed","2026-05-08","","test_websocket","",""
"","0","explain() returns a non-empty CRITICAL narrative for critical findings","tests","2026-05-08","passed","2026-05-08","","test_risk_engine","",""
"","15","Viewer role can access stable dashboard routes","tests","2026-05-08","passed","2026-05-08","","test_dashboard_api","",""
"","14","Duplicate email is rejected with 409","tests","2026-05-08","passed","2026-05-08","","test_rbac","",""
"","0","Alias resolves to the same tags as its canonical form","tests","2026-05-08","passed","2026-05-08","TestAliasNormalisation","test_framework_tagger","",""
"","0","Different target IDs produce different fingerprints","tests","2026-05-08","passed","2026-05-08","TestFingerprint","test_finding_dedup","",""
"","8","Root endpoint is accessible without authentication","tests","2026-05-08","passed","2026-05-08","","test_endpoints","",""
"","0","Known severity levels return valid CVSS 3.1 vectors","tests","2026-05-08","passed","2026-05-08","TestSeverityToDefaultVector","test_cvss","",""
"","0","Fingerprint matches expected SHA-256 for known input","tests","2026-05-08","passed","2026-05-08","TestFingerprint","test_finding_dedup","",""
"","0","Query string is stripped from URL","tests","2026-05-08","passed","2026-05-08","TestNormaliseUrl","test_finding_dedup","",""
"","13","Exposure trend returns valid response or known Python 3.13 bug","tests","2026-05-08","passed","2026-05-08","","test_dashboard_api","",""
"","33","Legacy GET /{scan_id} returns ai_analysis field","tests","2026-05-08","passed","2026-05-08","","test_reports_api","",""
"","8","get report meta requires authentication","tests","2026-05-08","passed","2026-05-08","","test_reports_api","",""
"","23","Unknown framework name returns 400","tests","2026-05-08","passed","2026-05-08","","test_findings_api","",""
"","1","Band thresholds map scores to correct severity labels","tests","2026-05-08","passed","2026-05-08","TestBand","test_scoring_explainer","",""
"","1","ssrf- template prefix produces tags","tests","2026-05-08","passed","2026-05-08","TestTemplateIdPrefix","test_framework_tagger","",""
"","1","Without a key, encrypt_json stores plaintext JSON","tests","2026-05-08","passed","2026-05-08","TestCryptoPlaintextFallback","test_crypto","",""
"","7","All dashboard routes reject unauthenticated requests","tests","2026-05-08","passed","2026-05-08","","test_dashboard_api","",""
"","1","Hash is a 64-character lowercase hex string","tests","2026-05-08","passed","2026-05-08","TestCanonicalFindingsHash","test_report_signer","",""
"","0","SQL injection variants are recognised and tagged","tests","2026-05-08","passed","2026-05-08","TestKnownVulnerabilityTypes","test_framework_tagger","",""
"","12","Tampered hash chain returns valid=False with broken_at set","tests","2026-05-08","passed","2026-05-08","","test_audit_api","",""
"","18","Viewer cannot delete a target (403)","tests","2026-05-08","passed","2026-05-08","","test_targets_api","",""
"","0","Severity weights are ordered: CRITICAL > HIGH > MEDIUM > LOW > INFO","tests","2026-05-08","passed","2026-05-08","","test_risk_engine","",""
"","9","GET /auth/me rejects a garbage token","tests","2026-05-08","passed","2026-05-08","","test_endpoints","",""
"","0","Scheme, host, and path are preserved after normalisation","tests","2026-05-08","passed","2026-05-08","TestNormaliseUrl","test_finding_dedup","",""
"","0","Empty string raises JWTError","tests","2026-05-08","passed","2026-05-08","TestJWT","test_security_core","",""
"","1","SQL injection variants are recognised and tagged","tests","2026-05-08","passed","2026-05-08","TestKnownVulnerabilityTypes","test_framework_tagger","",""
"","0","All-None inputs return empty dict","tests","2026-05-08","passed","2026-05-08","TestUnknownInputs","test_framework_tagger","",""
"","1","Band thresholds map scores to correct severity labels","tests","2026-05-08","passed","2026-05-08","TestBand","test_scoring_explainer","",""
"","1","ScopeViolation is a subclass of Exception","tests","2026-05-08","passed","2026-05-08","TestAssertInScope","test_scope_guard","",""
"","1","Known high-risk port (Telnet/23) is mentioned in narrative","tests","2026-05-08","passed","2026-05-08","TestExplain","test_scoring_explainer","",""
"","361","Wrong current password is rejected during password change","tests","2026-05-08","passed","2026-05-08","","test_auth_flow","",""
"","4","List vulnerabilities requires authentication","tests","2026-05-08","passed","2026-05-08","","test_vulnerabilities_api","",""
"","0","Network access vector scores higher than physical access","tests","2026-05-08","passed","2026-05-08","TestBaseScore","test_cvss","",""
"","0","test_celery_broker_url_uses_redis_setting","tests","2026-05-08","passed","2026-05-08","","test_scan_tasks","",""
"","2","test_broadcast_event_envelope_shape","tests","2026-05-08","passed","2026-05-08","","test_websocket","",""
"","276","Health endpoint returns ok/degraded/healthy status","tests","2026-05-08","passed","2026-05-08","","test_endpoints","",""
"","1","explain() handles zero findings gracefully","tests","2026-05-08","passed","2026-05-08","","test_risk_engine","",""
"","8","commit() is always called after reaping","tests","2026-05-08","passed","2026-05-08","","test_scan_reaper","",""
"","1","Vuln type is normalised to lowercase for fingerprinting","tests","2026-05-08","passed","2026-05-08","TestFingerprint","test_finding_dedup","",""
"Same inputs → same fingerprint hash; different inputs → different hash.","1","test_finding_dedup_fingerprint_is_deterministic","tests","2026-05-08","passed","2026-05-08","","test_agents","",""
"","1","Critical severity count is mentioned in narrative","tests","2026-05-08","passed","2026-05-08","TestExplain","test_scoring_explainer","",""
"","726","Wrong password fails verification","tests","2026-05-08","passed","2026-05-08","TestPasswordHashing","test_security_core","",""
"","29","Findings list returns paginated envelope with items and total","tests","2026-05-08","passed","2026-05-08","","test_findings_api","",""
"","0","Expired token raises JWTError","tests","2026-05-08","passed","2026-05-08","TestJWT","test_security_core","",""
"","10","Generate report for unknown scan returns 404","tests","2026-05-08","passed","2026-05-08","","test_reports_api","",""
"","1","Explicit category parameter overrides template_id and vuln_type","tests","2026-05-08","passed","2026-05-08","TestCategoryOverride","test_framework_tagger","",""
"","0","explain() band thresholds match expected labels","tests","2026-05-08","passed","2026-05-08","","test_risk_engine","",""
"","1","Explicit allowlist is used when provided","tests","2026-05-08","passed","2026-05-08","TestScopeGuardConstruction","test_scope_guard","",""
"","8","All dashboard routes reject unauthenticated requests","tests","2026-05-08","passed","2026-05-08","","test_dashboard_api","",""
"Verify asset criticality multipliers.","1","test_asset_value_multipliers","tests","2026-05-08","passed","2026-05-08","","test_risk_engine_manual","",""
"","17","Dashboard KPI snapshot returns 200 or 422","tests","2026-05-08","passed","2026-05-08","","test_endpoints","",""
"","1","Unknown template_id returns empty dict","tests","2026-05-08","passed","2026-05-08","TestUnknownInputs","test_framework_tagger","",""
"","413","Admin can create a new user","tests","2026-05-08","passed","2026-05-08","","test_rbac","",""
"","0","tag_finding never raises an exception for any input","tests","2026-05-08","passed","2026-05-08","TestReturnTypeGuarantees","test_framework_tagger","",""
"","9","Authenticated analyst can list targets","tests","2026-05-08","passed","2026-05-08","","test_targets_api","",""
"","6","Overdue OPEN finding creates at least one action item","tests","2026-05-08","passed","2026-05-08","TestCheckAndActionBreaches","test_sla","",""
"","0","Alias resolves to the same tags as its canonical form","tests","2026-05-08","passed","2026-05-08","TestAliasNormalisation","test_framework_tagger","",""
"","0","Garbage signature string returns False","tests","2026-05-08","passed","2026-05-08","TestVerifySignature","test_report_signer","",""
"","21","Admin can list all users","tests","2026-05-08","passed","2026-05-08","","test_rbac","",""
"","20","Providing control without framework returns 400","tests","2026-05-08","passed","2026-05-08","","test_findings_api","",""
"","22","Viewer cannot list users (403)","tests","2026-05-08","passed","2026-05-08","","test_rbac","",""
"","26","Filter by framework and control returns matching findings","tests","2026-05-08","passed","2026-05-08","","test_findings_api","",""
"","329","Admin login returns access token with correct role","tests","2026-05-08","passed","2026-05-08","","test_auth_flow","",""
"","9","Login with unknown email returns 401","tests","2026-05-08","passed","2026-05-08","","test_auth_flow","",""
"","9","Get non-existent target returns 404","tests","2026-05-08","passed","2026-05-08","","test_targets_api","",""
"","0","Known severity levels return valid CVSS 3.1 vectors","tests","2026-05-08","passed","2026-05-08","TestSeverityToDefaultVector","test_cvss","",""
"","12","Analyst role can access stable dashboard routes","tests","2026-05-08","passed","2026-05-08","","test_dashboard_api","",""
"","0","Without a key, decrypt_json reads plaintext JSON","tests","2026-05-08","passed","2026-05-08","TestCryptoPlaintextFallback","test_crypto","",""
"","2","Signature created with different key fails verification","tests","2026-05-08","passed","2026-05-08","TestVerifySignature","test_report_signer","",""
"","0","Narrative contains the risk band label","tests","2026-05-08","passed","2026-05-08","TestExplain","test_scoring_explainer","",""
"Correlator must always echo the input shape, adding `matched_vulnerability_ids`.","2","test_alert_correlator_returns_alerts_with_match_field","tests","2026-05-08","passed","2026-05-08","","test_siem_integration","",""
"","0","Partial hostname match is not allowed","tests","2026-05-08","passed","2026-05-08","TestIsInScope","test_scope_guard","",""
"","8","Protected routes reject unauthenticated requests with 401 or 403","tests","2026-05-08","passed","2026-05-08","","test_endpoints","",""
"","1","Hostname is derived from base_url when no allowlist given","tests","2026-05-08","passed","2026-05-08","TestScopeGuardConstruction","test_scope_guard","",""
"","0","Short-form vector without prefix is parsed correctly","tests","2026-05-08","passed","2026-05-08","TestParseVector","test_cvss","",""
"","11","Empty audit log is considered a valid chain","tests","2026-05-08","passed","2026-05-08","","test_audit_api","",""
"","11","Missing both status and remediation returns 400","tests","2026-05-08","passed","2026-05-08","","test_vulnerabilities_api","",""
"","18","Summary endpoint returns a dict object","tests","2026-05-08","passed","2026-05-08","","test_dashboard_api","",""
"","0","Critical asset criticality is mentioned in narrative","tests","2026-05-08","passed","2026-05-08","TestExplain","test_scoring_explainer","",""
"","9","List targets returns a list","tests","2026-05-08","passed","2026-05-08","","test_targets_api","",""
"","0","Known severity levels return valid CVSS 3.1 vectors","tests","2026-05-08","passed","2026-05-08","TestSeverityToDefaultVector","test_cvss","",""
"","0","tag_finding always returns a dict for any input combination","tests","2026-05-08","passed","2026-05-08","TestReturnTypeGuarantees","test_framework_tagger","",""
"","21","Admin cannot demote themselves","tests","2026-05-08","passed","2026-05-08","","test_rbac","",""
"","1","explain() band thresholds match expected labels","tests","2026-05-08","passed","2026-05-08","","test_risk_engine","",""
"","0","Same findings produce identical hash","tests","2026-05-08","passed","2026-05-08","TestCanonicalFindingsHash","test_report_signer","",""
"","0","Ciphertext differs on each encryption call (random IV)","tests","2026-05-08","passed","2026-05-08","TestCryptoWithKey","test_crypto","",""
"","4","Custom stale_after_minutes parameter is accepted","tests","2026-05-08","passed","2026-05-08","","test_scan_reaper","",""
"","1","test_scan_tasks_module_imports","tests","2026-05-08","passed","2026-05-08","","test_scan_tasks","",""
"","0","Empty string input handled via caller convention","tests","2026-05-08","passed","2026-05-08","TestNormaliseUrl","test_finding_dedup","",""
"","0","Alias resolves to the same tags as its canonical form","tests","2026-05-08","passed","2026-05-08","TestAliasNormalisation","test_framework_tagger","",""
"","0","encrypt/decrypt round-trip preserves nested dict","tests","2026-05-08","passed","2026-05-08","TestCryptoWithKey","test_crypto","",""
"","1","Valid signature verifies to True","tests","2026-05-08","passed","2026-05-08","TestVerifySignature","test_report_signer","",""
"Ensure API is running and scans endpoint is reachable","0","test_api_health","tests","2026-05-08","skipped","2026-05-08","","test_e2e_scans","",""
"","1","Empty findings list produces a valid hash","tests","2026-05-08","passed","2026-05-08","TestCanonicalFindingsHash","test_report_signer","",""
"","0","explain() band thresholds match expected labels","tests","2026-05-08","passed","2026-05-08","","test_risk_engine","",""
"","183","Verify report returns valid flag and findings_hash","tests","2026-05-08","passed","2026-05-08","","test_reports_api","",""
"Wait for scan to complete and verify assets created in DB","0","test_scan_completion_and_assets","tests","2026-05-08","skipped","2026-05-08","","test_e2e_scans","",""
"","0","URL fragment differences are ignored in fingerprint","tests","2026-05-08","passed","2026-05-08","TestFingerprint","test_finding_dedup","",""
"","16","generate report requires authentication","tests","2026-05-08","passed","2026-05-08","","test_reports_api","",""
"","44","Unauthenticated request to audit verify is rejected","tests","2026-05-08","passed","2026-05-08","","test_audit_api","",""
"","1","Unknown port (9999) is not mentioned in narrative","tests","2026-05-08","passed","2026-05-08","TestExplain","test_scoring_explainer","",""
"","0","Classic high-risk ports (21, 23, 445, 3389, 6379) are in the list","tests","2026-05-08","passed","2026-05-08","","test_risk_engine","",""
"","1","JWT payload contains exp and iat claims","tests","2026-05-08","passed","2026-05-08","TestJWT","test_security_core","",""
"","1","JWT create and decode round-trip preserves subject and role","tests","2026-05-08","passed","2026-05-08","TestJWT","test_security_core","",""
"","1","xss- template prefix produces tags","tests","2026-05-08","passed","2026-05-08","TestTemplateIdPrefix","test_framework_tagger","",""
"","1","Severity lookup is case-insensitive","tests","2026-05-08","passed","2026-05-08","TestSeverityToDefaultVector","test_cvss","",""
"","0","No-impact vector produces score of 0.0","tests","2026-05-08","passed","2026-05-08","TestBaseScore","test_cvss","",""
"","0","test_parse_results_handles_empty_scan","tests","2026-05-08","passed","2026-05-08","","test_nmap_wrapper","",""
"","9","Protected routes reject unauthenticated requests with 401 or 403","tests","2026-05-08","passed","2026-05-08","","test_endpoints","",""
"","0","Out-of-scope URL raises ScopeViolation","tests","2026-05-08","passed","2026-05-08","TestAssertInScope","test_scope_guard","",""
"","5","Logout returns 204 No Content","tests","2026-05-08","passed","2026-05-08","","test_auth_flow","",""
"","16","Filter by severity returns only matching vulnerabilities","tests","2026-05-08","passed","2026-05-08","","test_vulnerabilities_api","",""
"","0","URL query string differences are ignored in fingerprint","tests","2026-05-08","passed","2026-05-08","TestFingerprint","test_finding_dedup","",""
"","0","String 'high' resolves to 30-day window","tests","2026-05-08","passed","2026-05-08","TestDueDateFor","test_sla","",""
"","27","Admin can delete a target and it no longer exists","tests","2026-05-08","passed","2026-05-08","","test_targets_api","",""
"","1","Band thresholds map scores to correct severity labels","tests","2026-05-08","passed","2026-05-08","TestBand","test_scoring_explainer","",""
"","0","Vector parsing is case-insensitive","tests","2026-05-08","passed","2026-05-08","TestParseVector","test_cvss","",""
"","17","List vulnerabilities returns a list","tests","2026-05-08","passed","2026-05-08","","test_vulnerabilities_api","",""
"","23","New vulnerability creates a new finding","tests","2026-05-08","passed","2026-05-08","TestDeduplicateScan","test_finding_dedup","",""
"","20","Filter by status=fixed returns only fixed findings","tests","2026-05-08","passed","2026-05-08","","test_findings_api","",""
"","20","Admin can update target name","tests","2026-05-08","passed","2026-05-08","","test_targets_api","",""
"","5","execute() is called exactly once per reap","tests","2026-05-08","passed","2026-05-08","","test_scan_reaper","",""
"","1","Different findings produce different hashes","tests","2026-05-08","passed","2026-05-08","TestCanonicalFindingsHash","test_report_signer","",""
"","0","Role claim is preserved exactly for all role types","tests","2026-05-08","passed","2026-05-08","TestJWT","test_security_core","",""
"","1","Hash is order-independent (sorted by id)","tests","2026-05-08","passed","2026-05-08","TestCanonicalFindingsHash","test_report_signer","",""
"","0","IP address inside CIDR range is in scope","tests","2026-05-08","passed","2026-05-08","TestCIDRScope","test_scope_guard","",""
"","22","Framework alias (owasp) resolves to canonical key","tests","2026-05-08","passed","2026-05-08","","test_findings_api","",""
"","23","Admin role can access stable dashboard routes","tests","2026-05-08","passed","2026-05-08","","test_dashboard_api","",""
"","20","Get target by ID returns the correct target","tests","2026-05-08","passed","2026-05-08","","test_targets_api","",""
"","0","XSS variants are recognised and tagged","tests","2026-05-08","passed","2026-05-08","TestKnownVulnerabilityTypes","test_framework_tagger","",""
"","8","All dashboard routes reject unauthenticated requests","tests","2026-05-08","passed","2026-05-08","","test_dashboard_api","",""
"","7","Viewer cannot create a target (403)","tests","2026-05-08","passed","2026-05-08","","test_targets_api","",""
"","25","Scans list returns paginated envelope with items and total","tests","2026-05-08","passed","2026-05-08","","test_endpoints","",""
"","15","Get meta for unknown report returns 404","tests","2026-05-08","passed","2026-05-08","","test_reports_api","",""
"","10","Admin creates a target successfully","tests","2026-05-08","passed","2026-05-08","","test_targets_api","",""
"","12","Risk overview returns a dict or list","tests","2026-05-08","passed","2026-05-08","","test_dashboard_api","",""
"","11","Viewer role can access stable dashboard routes","tests","2026-05-08","passed","2026-05-08","","test_dashboard_api","",""
"","1","Empty URL string returns False without raising","tests","2026-05-08","passed","2026-05-08","TestScopeGuardEdgeCases","test_scope_guard","",""
"","330","Login with wrong password returns 401","tests","2026-05-08","passed","2026-05-08","","test_auth_flow","",""
"","1","Empty dict round-trips correctly","tests","2026-05-08","passed","2026-05-08","TestCryptoWithKey","test_crypto","",""
"","1","Known severity levels return valid CVSS 3.1 vectors","tests","2026-05-08","passed","2026-05-08","TestSeverityToDefaultVector","test_cvss","",""
"","14","Analyst can list vulnerabilities","tests","2026-05-08","passed","2026-05-08","","test_vulnerabilities_api","",""
"","33","Filter by scan_id returns findings linked to that scan","tests","2026-05-08","passed","2026-05-08","","test_findings_api","",""
"","0","Multiple allowlist entries each match correctly","tests","2026-05-08","passed","2026-05-08","TestIsInScope","test_scope_guard","",""
"","38","Pagination limit is respected in target list","tests","2026-05-08","passed","2026-05-08","","test_targets_api","",""
"","1","test_parse_results_attaches_mac_vendor_when_present","tests","2026-05-08","passed","2026-05-08","","test_nmap_wrapper","",""
"","8","Protected routes reject unauthenticated requests with 401 or 403","tests","2026-05-08","passed","2026-05-08","","test_endpoints","",""
"","2","Empty database returns zero breach count","tests","2026-05-08","passed","2026-05-08","TestCheckAndActionBreaches","test_sla","",""
"","0","decrypt_json(None) returns None","tests","2026-05-08","passed","2026-05-08","TestCryptoWithKey","test_crypto","",""
"","180","Get report meta after generation returns correct report_id and scan_id","tests","2026-05-08","passed","2026-05-08","","test_reports_api","",""
"","14","Verify unknown report returns 404","tests","2026-05-08","passed","2026-05-08","","test_reports_api","",""
"","25","limit parameter restricts the number of items returned","tests","2026-05-08","passed","2026-05-08","","test_findings_api","",""
"","1","Different keys produce different signatures","tests","2026-05-08","passed","2026-05-08","TestSignPdf","test_report_signer","",""
"","0","All-None inputs produce a valid fingerprint without raising","tests","2026-05-08","passed","2026-05-08","TestFingerprint","test_finding_dedup","",""
"","11","Vulnerability gets finding_id linked after deduplication","tests","2026-05-08","passed","2026-05-08","TestDeduplicateScan","test_finding_dedup","",""
"","0","Info vector produces a score of 0.0","tests","2026-05-08","passed","2026-05-08","TestSeverityToDefaultVector","test_cvss","",""
"","1","Risk score calculation across empty, single, and capped scenarios","tests","2026-05-08","passed","2026-05-08","","test_risk","",""
"","7","All dashboard routes reject unauthenticated requests","tests","2026-05-08","passed","2026-05-08","","test_dashboard_api","",""
